id,manufacturer,displacement,name
1,0,0,CB1100EX
,0,0,CB1100RS
,0,0,CB1300 SUPER BOLDOR
,0,0,CB1300 SUPER FOUR
,0,0,CRF1100L AfricaTwin
,0,0,GOLDWING GL1800/GL1500
,0,0,HAWK 11
,0,0,NT1100 / DCT
,0,0,REBEL1100 / DCT
,0,0,CB1100
,0,0,CB1100F
,0,0,CB1100R
,0,0,CB1300 SUPER TUORING
,0,0,CBR1100XX Super Blackbird
,0,0,CBX1100
,0,0,CTX1300
,0,0,GOLDWING F6B
,0,0,GOLDWING F6C/Valkrie
,0,0,GOLDWING GL1100
,0,0,GOLDWING GL1200
,0,0,Shadow 1100
,0,0,Shadow AERO
,0,0,ST1100 PAN EUROPEAN
,0,0,ST1300 PAN EUROPEAN
,0,0,STX1300 PAN EUROPEAN
,0,0,Valkrie
,0,0,Valkrie Tourer
,0,0,VF1100C MAGNA V65
,0,0,VFR1200F / DCT
,0,0,VT1300CR
,0,0,VT1300CS
,0,0,VT1300CX
,0,0,VTX
,0,0,VTX1300C
,0,0,VTX1300R
,0,0,VTX1300C
,0,0,VTX1300S
,0,0,X11
,0,0,X4
,0,1,CB1000R
,0,1,CBR1000RR-R FireBlade/SP
,0,1,VFR800F
,0,1,VFR800X Crossrunner
,0,1,CB-F Concept
,0,1,CB1000 SUPER FOUR
,0,1,CB900 HORNET
,0,1,CB900 C
,0,1,CB900 F
,0,1,CBF1000
,0,1,CBR1000F
,0,1,CBR1000RR FireBlade/SP
,0,1,CBR900RR FireBlade
,0,1,CBR929RR FireBlade
,0,1,CBR954RR FireBlade
,0,1,CRF1000L AfricaTwin
,0,1,GOLDWING GL1000
,0,1,PACIFIC COAST /PC800
,0,1,RC213V-S
,0,1,RVT1000R
,0,1,VF1000R
,0,1,VF1000F
,0,1,VFR
,0,1,VFR1000F Fire Storm
,0,1,VTR1000SP-1
,0,1,VTR10000SP-2
,0,1,XL1000V Varadero
,0,2,CB650R
,0,2,CBR600RR
,0,2,CBR650R
,0,2,CRF450R
,0,2,CRF450RX
,0,2,NC750S / DCT
,0,2,REBEL 500
,0,2,X-ADV
,0,2,750 CUSTOM EXCLUSIVE
,0,2,AFRICA TWIN
,0,2,BLACK WIDOW
,0,2,BROS PRODUCT ONE (BROS650)
,0,2,CB450
,0,2,CB450 EXPORT
,0,2,CB450 SENIOR
,0,2,CB4X (Concept Model)
,0,2,CB500F
,0,2,CB500S
,0,2,CB500X
,0,2,CB550 FOUR-K
,0,2,CB600F HORNET
,0,2,CB650
,0,2,CB650 CUSTOM
,0,2,CB650F
,0,2,CB650LC
,0,2,CB750
,0,2,CB750 CUSTOM
,0,2,CB750 FOUR-2
,0,2,CB750 FOUR-K
,0,2,CB750F
,0,2,CB750F INTEGRA
,0,2,CB750K
,0,2,CBF500
,0,2,CBF600
,0,2,CBF600F
,0,2,CBR500R
,0,2,CBR600F
,0,2,CBR600F Sport
,0,2,CBR600F4i
,0,2,CBR650F
